trat,id,gen,blocos,sev1,sev2,sev3,area,areat
Testemunha 6165,1,Predileta,1,0.97,1.9,12,58.695,14.6587768636366
Testemunha 6165,2,Predileta,2,1.9,1.9,8,47.95,12.9632467484011
Testemunha 6165,3,Predileta,3,3.3,3.3,12,76.65,17.1971967304649
Testemunha 6165,4,Predileta,4,1.9,3.3,12,71.75,16.5347160092365
Testemunha 6165,5,Inca,1,1.9,12,31,199.15,29.9179110665006
Testemunha 6165,6,Inca,2,1.9,12,31,199.15,29.9179110665006
Testemunha 6165,7,Inca,3,1.9,8,22,139.65,24.4174745886978
Testemunha 6165,8,Inca,4,0.97,12,31,195.895,29.6387182678993
UFV 02,9,Predileta,1,0.97,8,8,87.395,18.5843226603651
UFV 02,10,Predileta,2,1.9,12,12,132.65,23.7036905268963
UFV 02,11,Predileta,3,0.97,8,8,87.395,18.5843226603651
UFV 02,12,Predileta,4,0.97,8,8,87.395,18.5843226603651
UFV 02,13,Inca,1,0.97,3.3,8,54.495,14.0147632970166
UFV 02,14,Inca,2,1.9,8,12,104.65,20.6554710132535
UFV 02,15,Inca,3,0.97,3.3,8,54.495,14.0147632970166
UFV 02,16,Inca,4,1.9,3.3,8,57.75,14.5157914191443
UFV 04,17,Predileta,1,0.97,12,12,129.395,23.3658269968184
UFV 04,18,Predileta,2,1.9,12,12,132.65,23.7036905268963
UFV 04,19,Predileta,3,1.9,22,31,269.15,35.4799085783784
UFV 04,20,Predileta,4,1.9,12,12,132.65,23.7036905268963
UFV 04,21,Inca,1,3.3,12,31,204.05,30.3342336587059
UFV 04,22,Inca,2,8,8,22,161,26.4976353217453
UFV 04,23,Inca,3,8,12,31,220.5,31.6989882799334
UFV 04,24,Inca,4,3.3,12,31,204.05,30.3342336587059
Guaxupe,25,Predileta,1,0.97,12,12,129.395,23.3658269968184
Guaxupe,26,Predileta,2,0.97,12,22,164.395,26.8163006645724
Guaxupe,27,Predileta,3,0.97,12,12,129.395,23.3658269968184
Guaxupe,28,Predileta,4,1.9,22,22,237.65,33.072327717513
Guaxupe,29,Inca,1,1.9,8,22,139.65,24.4174745886978
Guaxupe,30,Inca,2,1.9,12,12,132.65,23.7036905268963
Guaxupe,31,Inca,3,0.97,8,12,101.395,20.2776713985759
Guaxupe,32,Inca,4,1.9,12,12,132.65,23.7036905268963
UFV 72,33,Predileta,1,1.9,22,31,269.15,35.4799085783784
UFV 72,34,Predileta,2,1.9,22,22,237.65,33.072327717513
UFV 72,35,Predileta,3,3.3,31,31,337.05,40.2599377158713
UFV 72,36,Predileta,4,3.3,22,31,274.05,35.8423878927206
UFV 72,37,Inca,1,1.9,12,22,167.65,27.1189662224651
UFV 72,38,Inca,2,1.9,22,22,237.65,33.072327717513
UFV 72,39,Inca,3,3.3,22,31,274.05,35.8423878927206
UFV 72,40,Inca,4,1.9,12,22,167.65,27.1189662224651
PROG 125,41,Predileta,1,3.3,31,51,407.05,44.738252327265
PROG 125,42,Predileta,2,8,31,31,353.5,41.3484777475368
PROG 125,43,Predileta,3,8,22,51,360.5,41.8045299031128
PROG 125,44,Predileta,4,3.3,31,51,407.05,44.738252327265
PROG 125,45,Inca,1,8,12,31,220.5,31.6989882799334
PROG 125,46,Inca,2,3.3,22,22,242.55,33.4561767123005
PROG 125,47,Inca,3,1.9,8,31,171.15,27.441382208941
PROG 125,48,Inca,4,3.3,22,22,242.55,33.4561767123005
PROG 122,49,Predileta,1,8,12,31,220.5,31.6989882799334
PROG 122,50,Predileta,2,3.3,12,22,172.55,27.5694896991579
PROG 122,51,Predileta,3,1.9,8,31,171.15,27.441382208941
PROG 122,52,Predileta,4,1.9,12,31,199.15,29.9179110665006
PROG 122,53,Inca,1,1.9,12,31,199.15,29.9179110665006
PROG 122,54,Inca,2,0.97,8,22,136.395,24.0876844300342
PROG 122,55,Inca,3,0.97,12,31,195.895,29.6387182678993
PROG 122,56,Inca,4,0.97,12,31,195.895,29.6387182678993
VR 20,57,Predileta,1,0.97,12,51,265.895,35.2374215967856
VR 20,58,Predileta,2,1.9,8,31,171.15,27.441382208941
VR 20,59,Predileta,3,3.3,12,22,172.55,27.5694896991579
VR 20,60,Predileta,4,1.9,22,31,269.15,35.4799085783784
VR 20,61,Inca,1,3.3,12,22,172.55,27.5694896991579
VR 20,62,Inca,2,1.9,8,12,104.65,20.6554710132535
VR 20,63,Inca,3,0.97,8,12,101.395,20.2776713985759
VR 20,64,Inca,4,0.97,8,12,101.395,20.2776713985759
Lagoa da prata,65,Predileta,1,1.9,8,31,171.15,27.441382208941
Lagoa da prata,66,Predileta,2,1.9,12,51,269.15,35.4799085783784
Lagoa da prata,67,Predileta,3,3.3,12,31,204.05,30.3342336587059
Lagoa da prata,68,Predileta,4,3.3,8,51,246.05,33.7281525826891
Lagoa da prata,69,Inca,1,3.3,8,22,144.55,24.9072708847782
Lagoa da prata,70,Inca,2,1.9,12,31,199.15,29.9179110665006
Lagoa da prata,71,Inca,3,3.3,12,31,204.05,30.3342336587059
Lagoa da prata,72,Inca,4,1.9,12,31,199.15,29.9179110665006
M 373,73,Predileta,1,3.3,22,31,274.05,35.8423878927206
M 373,74,Predileta,2,1.9,22,51,339.15,40.4002539344641
M 373,75,Predileta,3,3.3,31,51,407.05,44.738252327265
M 373,76,Predileta,4,1.9,31,31,332.15,39.930944706646
M 373,77,Inca,1,1.9,22,51,339.15,40.4002539344641
M 373,78,Inca,2,3.3,22,31,274.05,35.8423878927206
M 373,79,Inca,3,3.3,31,31,337.05,40.2599377158713
M 373,80,Inca,4,1.9,31,31,332.15,39.930944706646
RIL 18,81,Predileta,1,3.3,22,51,344.05,40.7260970099789
RIL 18,82,Predileta,2,8,31,31,353.5,41.3484777475368
RIL 18,83,Predileta,3,3.3,31,51,407.05,44.738252327265
RIL 18,84,Predileta,4,3.3,31,51,407.05,44.738252327265
RIL 18,85,Inca,1,3.3,31,51,407.05,44.738252327265
RIL 18,86,Inca,2,3.3,22,31,274.05,35.8423878927206
RIL 18,87,Inca,3,1.9,31,31,332.15,39.930944706646
RIL 18,88,Inca,4,3.3,31,31,337.05,40.2599377158713
M 354,89,Predileta,1,3.3,51,51,547.05,52.7294515598071
M 354,90,Predileta,2,3.3,51,51,547.05,52.7294515598071
M 354,91,Predileta,3,3.3,31,31,337.05,40.2599377158713
M 354,92,Predileta,4,8,51,51,563.5,53.6023238677257
M 354,93,Inca,1,1.9,31,51,402.15,44.4370540187451
M 354,94,Inca,2,3.3,31,31,337.05,40.2599377158713
M 354,95,Inca,3,3.3,31,51,407.05,44.738252327265
M 354,96,Inca,4,3.3,51,51,547.05,52.7294515598071
